CODIGO,FECHA,DIA_SEMANA,INGRESO,SALIDA,HORAS_LABORADAS
67,2023-01-09,Monday,1900-01-01 09:17:00,1900-01-01 18:40:00,9.383333333333333
67,2023-01-10,Tuesday,1900-01-01 09:04:00,1900-01-01 19:36:00,10.533333333333333
67,2023-01-12,Thursday,1900-01-01 09:05:00,,FALTA/NO CHECO
119,2023-01-09,Monday,1900-01-01 08:16:00,1900-01-01 17:32:00,9.266666666666667
119,2023-01-11,Wednesday,1900-01-01 08:18:00,1900-01-01 17:39:00,9.35
119,2023-01-13,Friday,,,FALTA/NO CHECO
150,2023-01-09,Monday,1900-01-01 09:07:00,1900-01-01 19:58:00,10.85
150,2023-01-10,Tuesday,1900-01-01 09:01:00,1900-01-01 19:14:00,10.216666666666667
150,2023-01-12,Thursday,1900-01-01 09:03:00,1900-01-01 20:03:00,11.0
150,2023-01-13,Friday,1900-01-01 08:04:00,1900-01-01 17:05:00,9.016666666666667
162,2023-01-09,Monday,,,FALTA/NO CHECO
162,2023-01-10,Tuesday,1900-01-01 09:18:00,1900-01-01 18:41:00,9.383333333333333
162,2023-01-11,Wednesday,1900-01-01 09:17:00,1900-01-01 20:24:00,11.116666666666667
162,2023-01-12,Thursday,1900-01-01 09:21:00,1900-01-01 19:29:00,10.133333333333333
162,2023-01-13,Friday,1900-01-01 10:12:00,1900-01-01 18:20:00,8.133333333333333
168,2023-01-09,Monday,1900-01-01 09:08:00,1900-01-01 18:55:00,9.783333333333333
168,2023-01-11,Wednesday,1900-01-01 09:02:00,,FALTA/NO CHECO
168,2023-01-12,Thursday,1900-01-01 09:09:00,1900-01-01 18:34:00,9.416666666666666
168,2023-01-13,Friday,1900-01-01 09:02:00,1900-01-01 17:16:00,8.233333333333333
183,2023-01-09,Monday,1900-01-01 09:11:00,1900-01-01 18:11:00,9.0
183,2023-01-11,Wednesday,1900-01-01 09:14:00,1900-01-01 18:16:00,9.033333333333333
183,2023-01-12,Thursday,1900-01-01 09:19:00,1900-01-01 19:00:00,9.683333333333334
183,2023-01-13,Friday,1900-01-01 09:41:00,1900-01-01 18:18:00,8.616666666666667
187,2023-01-09,Monday,1900-01-01 09:21:00,1900-01-01 19:33:00,10.2
187,2023-01-10,Tuesday,1900-01-01 09:48:00,1900-01-01 19:04:00,9.266666666666667
187,2023-01-11,Wednesday,1900-01-01 09:21:00,1900-01-01 19:13:00,9.866666666666667
187,2023-01-12,Thursday,1900-01-01 09:20:00,1900-01-01 18:32:00,9.2
187,2023-01-13,Friday,1900-01-01 09:16:00,1900-01-01 18:16:00,9.0
218,2023-01-09,Monday,1900-01-01 09:12:00,1900-01-01 18:11:00,8.983333333333333
218,2023-01-13,Friday,1900-01-01 08:21:00,1900-01-01 17:46:00,9.416666666666666
220,2023-01-09,Monday,1900-01-01 09:18:00,1900-01-01 18:11:00,8.883333333333333
220,2023-01-10,Tuesday,1900-01-01 09:16:00,1900-01-01 18:12:00,8.933333333333334
220,2023-01-11,Wednesday,1900-01-01 09:16:00,1900-01-01 18:17:00,9.016666666666667
220,2023-01-12,Thursday,1900-01-01 09:21:00,1900-01-01 18:17:00,8.933333333333334
220,2023-01-13,Friday,1900-01-01 09:17:00,1900-01-01 18:15:00,8.966666666666667
225,2023-01-09,Monday,1900-01-01 09:04:00,1900-01-01 18:40:00,9.6
